shape,carat,color,clarity,cut,authentication,ship date,price,natural
Round,0.24,H,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,340,Natural
Round,0.3,F,SI2,Good,GIA,43976,340,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,340,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,340,Natural
Round,0.31,J,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,340,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,340,Natural
Round,0.3,K,VS2,Excellent,GIA,43976,340,Natural
Round,0.3,K,SI1,Excellent,GIA,43976,340,Natural
Round,0.36,M,SI1,Excellent,GIA,43972,340,Natural
Round,0.33,M,VS2,Excellent,GIA,43972,340,Natural
Round,0.33,M,VS2,Excellent,GIA,43972,340,Natural
Round,0.3,L,VS2,Excellent,GIA,43976,340,Natural
Round,0.32,I,SI2,Excellent,GIA,43976,340,Natural
Round,0.31,G,I1,Excellent,GIA,43976,340,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,340,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,340,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,340,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,340,Natural
Round,0.3,J,SI1,Excellent,GIA,43976,340,Natural
Round,0.3,L,VS2,Excellent,GIA,43976,340,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,340,Natural
Round,0.34,I,SI2,Very Good,GIA,43972,340,Natural
Round,0.23,H,VVS2,Excellent,GIA,43972,340,Natural
Round,0.31,I,I1,Excellent,GIA,43972,340,Natural
Round,0.3,J,SI1,Excellent,GIA,43972,340,Natural
Round,0.3,I,SI1,Very Good,GIA,43976,340,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,340,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,340,Natural
Round,0.3,I,SI1,Very Good,GIA,43976,340,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,340,Natural
Round,0.35,M,VVS1,Excellent,GIA,43976,340,Natural
Round,0.32,E,SI2,Very Good,GIA,43972,340,Natural
Round,0.3,K,VS1,Excellent,GIA,43972,340,Natural
Round,0.31,F,SI2,Very Good,IGI,43977,340,Natural
Round,0.34,J,SI2,Excellent,GIA,43972,340,Natural
Round,0.31,M,VS2,Excellent,GIA,43972,340,Natural
Round,0.31,J,SI2,Very Good,GIA,43976,340,Natural
Round,0.3,F,SI2,Very Good,GIA,43976,340,Natural
Round,0.3,F,SI2,Good,GIA,43976,340,Natural
Round,0.31,J,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,340,Natural
Round,0.34,E,I1,Excellent,GIA,43976,340,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,J,VS2,Good,GIA,43976,340,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,340,Natural
Round,0.31,L,SI1,Excellent,GIA,43976,340,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,340,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,340,Natural
Round,0.4,K,SI2,Very Good,GIA,43976,340,Natural
Round,0.31,K,SI2,Excellent,GIA,43976,340,Natural
Round,0.31,L,SI1,Excellent,GIA,43976,340,Natural
Round,0.3,M,VVS1,Excellent,GIA,43976,340,Natural
Round,0.36,M,SI1,Excellent,GIA,43972,340,Natural
Round,0.3,H,SI1,Good,GIA,43976,340,Natural
Round,0.31,D,SI2,Very Good,GIA,43976,340,Natural
Round,0.33,F,I1,Excellent,GIA,43976,340,Natural
Round,0.37,I,I1,Excellent,GIA,43976,340,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,340,Natural
